Entry,Gene names,Protein names
Q08649,ESA1 YOR244W O5257,Histone acetyltransferase ESA1 (EC 2.3.1.48)
P25340,ERG4 YGL012W YGL022,Delta(24(24(1)))-sterol reductase (EC 1.3.1.71) (C-24(28) sterol reductase) (Sterol Delta(24(28))-reductase)
P53233,FMP48 YGR052W,Probable serine/threonine-protein kinase FMP48 (EC 2.7.11.1) (Found in mitochondrial proteome protein 48)
Q04739,GAL83 SPM1 YER027C,SNF1 protein kinase subunit beta-3 (Glucose repression protein GAL83) (Protein SPM1)
P38785,GIC1 YHR061C,GTPase-interacting component 1
P53260,GTF1 YGR102C,"Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial (Glu-AdT subunit F) (EC 6.3.5.-)"
Q00055,GPD1 DAR1 HOR1 OSG1 YDL022W D2830,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 (EC 1.1.1.8)
P18494,GLN3 YER040W,Nitrogen regulatory protein GLN3
P17695,GRX2 TTR TTR1 YDR513W D9719.17,Glutaredoxin-2 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 2) (Thioltransferase)
P39003,HXT6 YDR343C D9651.12,High-affinity hexose transporter HXT6
Q08118,IRC10 YOL015W,Uncharacterized protein IRC10 (Increased recombination centers protein 10)
Q99393,IZH4 YOL101C,ADIPOR-like receptor IZH4 (Implicated in zinc homeostasis protein 4)
P21190,IME1 YJR094C J1916,Meiosis-inducing protein 1
P24583,PKC1 HPO2 STT1 YBL105C YBL0807,Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13)
Q08045,LCL2 YLR104W,Long chronological lifespan protein 2
Q02796,LGE1 YPL055C,Transcriptional regulatory protein LGE1 (Large cells protein 1)
P36146,LAS1 YKR063C,Protein LAS1
P07866,LTE1 EIS4 MSI2 YAL024C,Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)
Q06213,NUT2 MED10 YPR168W P9325.2,Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Negative regulator of URS2 protein 2)
P38855,PEX18 YHR160C,Peroxisomal membrane protein PEX18 (Peroxin-18)
P38361,PHO89 ITN1 YBR296C YBR2113,Phosphate permease PHO89 (Na(+)/Pi cotransporter PHO89)
P35842,PHO11 YAR071W,Acid phosphatase PHO11 (EC 3.1.3.2) (P56)
P32838,PPG1 PPG YNR032W N3281,Serine/threonine-protein phosphatase PP2A-like PPG1 (EC 3.1.3.16)
Q12017,PLP2 VIAF1 YOR281C,Phosducin-like protein 2 (Viral IAP-associated factor 1 homolog)
Q04004,PLP1 YDR183W YD9395.17,Phosducin-like protein 1
P38768,PIH1 NOP17 YHR034C,Protein interacting with Hsp90 1 (Nucleolar protein 17)
P40212,RPL13B RPL13 YMR142C YM9375.11C,60S ribosomal protein L13-B (Large ribosomal subunit protein eL13-B)
P10622,RPP1B L12EIIB RPL44P RPLA3 YDL130W,60S acidic ribosomal protein P1-beta (Ax) (L12eIIB) (L44') (Large ribosomal subunit protein P1-B) (P1B) (YP1beta)
P10664,RPL4A RPL2 RPL2A YBR031W YBR0315,60S ribosomal protein L4-A (L2) (Large ribosomal subunit protein uL4-A) (RP2) (YL2)
P40993,SNM1 YDR478W D8035.21,Ribonuclease MRP protein subunit SNM1 (RNA-processing protein SNM1) (RNase MRP 22.5 kDa subunit)
Q08162,DIS3 RRP44 YOL021C O2197,Exosome complex exonuclease DIS3 (EC 3.1.13.-) (EC 3.1.26.-) (Chromosome disjunction protein 3) (Ribosomal RNA-processing protein 44)
P53599,SSK2 YNR031C N3276,MAP kinase kinase kinase SSK2 (EC 2.7.11.25) (Suppressor of sensor kinase 2)
Q12378,RTR2 YDR066C D4261,RNA polymerase II subunit B1 CTD phosphatase RTR2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2 homolog RTR2) (Regulator of transcription 2)
Q02608,MRPS16 YPL013C LPA4C,"37S ribosomal protein S16, mitochondrial (Mitochondrial small ribosomal subunit protein bS16m)"
P34758,SCD5 FTB1 YOR329C,Protein SCD5 (Protein FTB1)
P43589,SAD1 YFR005C,Pre-mRNA-splicing factor SAD1 (snRNP assembly-defective protein 1)
P38850,RTT107 ESC4 YHR154W,Regulator of Ty1 transposition protein 107 (Establishes silent chromatin protein 4)
Q04003,SAS4 YDR181C YD9395.15C,Something about silencing protein 4
P38314,SDS24 YBR214W YBR1501,Protein SDS24
P40316,PDS1 YDR113C YD9727.08C,Securin
P20606,SAR1 YPL218W,Small COPII coat GTPase SAR1 (EC 3.6.5.-) (GTP-binding protein SAR1) (Secretion-associated RAS-related protein 1)
P29478,SEC65 YML105C YM8339.14C,Signal recognition particle subunit SEC65
P53207,SNU71 YGR013W,U1 small nuclear ribonucleoprotein component SNU71
P38343,SLM6 YBR266C YBR1735,Protein SLM6 (Synthetic lethal with MSS4 protein 6)
P43544,SNO3 YFL060C,Probable pyridoxal 5'-phosphate synthase subunit SNO3 (EC 4.3.3.6) (PDX2 homolog 3) (Pdx2.3) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q12212,SIA1 YOR137C YOR3329C,Protein SIA1
P36169,SKG1 YKR100C YKR099C-A,Suppressor of lethality of KEX2 GAS1 double null mutant protein 1
P38272,SHE3 YBR130C YBR1005,SWI5-dependent HO expression protein 3
P06701,SIR3 CMT1 MAR2 STE8 YLR442C L9753.10,Regulatory protein SIR3 (Silent information regulator 3)
Q07478,SUB2 YDL084W,ATP-dependent RNA helicase SUB2 (EC 3.6.4.13) (Suppressor of BRR1 protein 2)
Q08553,SYC1 YOR179C,Protein SYC1
P35189,TAF14 ANC1 CST10 SWP29 TAF30 TFG3 YPL129W,Transcription initiation factor TFIID subunit 14 (Actin non-complementing mutant 1) (Chromosome stability protein 10) (SWI/SNF chromatin-remodeling complex subunit TAF14) (SWI/SNF complex 29 kDa subunit) (SWI/SNF complex subunit TAF14) (TBP-associated factor 14) (TBP-associated factor 30 kDa) (Transcription factor G 30 kDa subunit) (Transcription initiation factor TFIIF 30 kDa subunit)
Q03750,TAF8 TAF65 YML114C YM8339.05C,Transcription initiation factor TFIID subunit 8 (TAFII-65) (TBP-associated factor 65 kDa) (TBP-associated factor 8)
Q06836,SYT1 YPR095C P9513.17,Arf guanine nucleotide exchange factor SYT1 (Arf-GEF SYT1) (Suppressor of YPT3 protein 1)
P47180,PGU1 PGL1 PSM1 YJR153W J2235,Polygalacturonase (PG) (EC 3.2.1.15) (PGase SM) (Pectinase)
Q12459,PRM7 YDL039C D2723 D2726 YDL038C,Pheromone-regulated protein PRM7
P32606,PET127 YOR017W OR26.07,Putative mitochondrial translation system component PET127
P25611,RDS1 YCR106W,Regulator of drug sensitivity 1
Q00246,RHO4 YKR055W,GTP-binding protein RHO4
P40339,RFC4 YOL094C O0923,Replication factor C subunit 4 (Replication factor C4) (Activator 1 37 kDa subunit)
P38061,RPL32 YBL092W YBL0838,60S ribosomal protein L32 (Large ribosomal subunit protein eL32)
Q12495,RLF2 CAC1 YPR018W YP9531.12,Chromatin assembly factor 1 subunit p90 (CAF-1 90 kDa subunit) (RAP1 localization factor 2)
P36532,MRPL37 YBR268W YBR1736A,"54S ribosomal protein L37, mitochondrial (Mitochondrial large ribosomal subunit protein mL54) (YmL37)"
P16370,RPB3 YIL021W,DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (B44.5) (DNA-directed RNA polymerase II 45 kDa polypeptide)
P34087,RPB7 YDR404C D9509.22,DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (B16)
P38192,RRT1 YBL048W YBL0519,Regulator of rDNA transcription protein 1
P38792,RRP4 YHR069C,Exosome complex component RRP4 (Ribosomal RNA-processing protein 4)
P53117,RRT6 YGL146C,Regulator of rDNA transcription protein 6
P32786,RRN6 YBL014C YBL0311 YBL0312,RNA polymerase I-specific transcription initiation factor RRN6
Q04947,RTN1 YDR233C,Reticulon-like protein 1
P07806,VAS1 YGR094W,"Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)"
P89114,SAE3 YHR079C-A,Pachytene arrest protein SAE3 (Sporulation in the absence of SPO11 protein 3)
P39954,SAH1 YER043C,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)
P40075,SCS2 YER120W,Vesicle-associated membrane protein-associated protein SCS2 (VAMP-associated protein SCS2) (Choline sensitivity suppressor protein 2) (VAP homolog 1)
Q12334,SCM3 YDL139C D2155,Protein SCM3 (Suppressor of chromosome missegregation protein 3)
P53324,SAY1 YGR263C,Steryl acetyl hydrolase 1 (EC 3.1.1.-)
P28707,SBA1 YKL117W YKL518,Co-chaperone protein SBA1
P15303,SEC23 YPR181C P9705.14,Protein transport protein SEC23
Q3E785,SDH6 YDR379C-A smORF139 smORF8,"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1)"
P38890,SET5 YHR207C,Putative protein lysine methyltransferase SET5 (EC 2.1.1.-) (SET domain-containing protein 5)
P40090,SCC4 YER147C,MAU2 chromatid cohesion factor homolog (Sister chromatid cohesion protein 4)
P16658,SEN2 YLR105C L8004.12,tRNA-splicing endonuclease subunit SEN2 (EC 4.6.1.16) (Splicing endonuclease protein 2) (tRNA-intron endonuclease SEN2)
Q00711,SDH1 SDHA YKL148C YKL602,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (FP)"
P38072,SCO2 YBR024W YBR0308,"Protein SCO2, mitochondrial"
P38863,SPC97 YHR172W,Spindle pole body component SPC97
P50088,SPG1 YGR236C G8578,Stationary phase gene 1 protein
P38283,SLI15 YBR156C YBR1206,Inner centromere protein-related protein SLI15 (INCENP-related protein SLI15)
P06782,SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20,Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)
P38247,SLM4 EGO3 GSE1 YBR077C YBR0723,Protein SLM4 (EGO complex subunit 3) (GSE complex subunit 1)
P33749,MSN4 YKL062W,Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4)
P36052,YKL162C YKL616,"Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial (EC 2.1.1.320) (NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 homolog) (Protein midA homolog)"
P39744,NOC2 YOR206W YOX001,Nucleolar complex protein 2
P40219,OSW5 YMR148W YM9375.18,Outer spore wall protein 5
Q05166,ASM4 NUP59 YDL088C D2420,Nucleoporin ASM4 (Nuclear pore protein NUP59)
P53224,ORM1 YGR038W,Protein ORM1
P20133,BET2 YPR176C P9705.12,Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Type II protein geranyl-geranyltransferase subunit beta) (PGGT) (YPT1/SEC4 proteins geranylgeranyltransferase subunit beta)
Q02651,SMA1 YPL027W,Spore membrane assembly protein 1
P38128,SMP1 YBR182C YBR1245,Transcription factor SMP1
Q07657,SHS1 SEP7 YDL225W,Seventh homolog of septin 1 (Septation protein 7)
Q99176,SRN2 SRN10 VPS37 YLR119W L2958 L9233.5,Protein SRN2 (ESCRT-I complex subunit VPS37) (Vacuolar protein sorting-associated protein 37)
P32342,SRP21 YKL122C YKL527,Signal recognition particle subunit SRP21 (Signal recognition particle 21 kDa protein)
P39706,SWD1 CPS50 SAF49 YAR003W FUN16,COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)
P15624,FRS1 YLR060W L2165,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
P32048,MSK1 YNL073W N2364,"Lysine--tRNA ligase, mitochondrial (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)"
P07284,SES1 SERS YDR023W YD9813.01,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"
P36145,TFA2 YKR062W,Transcription initiation factor IIE subunit beta (TFIIE-beta) (Factor A 43 kDa subunit) (Transcription factor A small subunit)
P38085,TAT1 TAP1 VAP1 YBR069C YBR0710,Valine/tyrosine/tryptophan amino-acid permease 1 (Tyrosine and tryptophan amino acid transporter 1)
Q03640,TCB3 YML072C,Tricalbin-3
P48363,PAC10 GIM2 PFD3 YGR078C,Prefoldin subunit 3 (Genes involved in microtubule biogenesis protein 2) (Gim complex subunit 2) (GimC subunit 2)
P25362,PET18 HIT2 YCR020C YCR20C,Protein PET18
P40534,PRM2 YIL037C,Pheromone-regulated membrane protein 2
P80210,ADE12 YNL220W N1290,Adenylosuccinate synthetase (AMPSase) (AS-synthetase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
P05748,RPL15A RPL10A RPL13A YL10A YLR029C,60S ribosomal protein L15-A (L13) (Large ribosomal subunit protein eL15-A) (RP15R) (YL10) (YP18)
P21672,RNR3 DIN1 YIL066C,Ribonucleoside-diphosphate reductase large chain 2 (EC 1.17.4.1) (Ribonucleotide reductase DNA damage-inducible regulatory subunit 2) (Ribonucleotide reductase R1 subunit 2) (Ribonucleotide reductase large subunit 2)
P41805,RPL10 GRC5 QSR1 YLR075W,60S ribosomal protein L10 (L9) (Large ribosomal subunit protein uL16) (Ubiquinol-cytochrome C reductase complex subunit VI-requiring protein)
P49723,RNR4 CRT3 YGR180C,Ribonucleoside-diphosphate reductase small chain 2 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 2) (Ribonucleotide reductase small subunit 2)
P02406,RPL28 CYH2 YGL103W,60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)
P53060,RMR1 YGL250W NRC245,Reduced meiotic recombination protein 1
P07703,RPC40 RPC5 YPR110C P8283.18,DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40)
P38805,RPF1 YHR088W,Ribosome production factor 1 (Ribosome biogenesis protein RPF1)
Q04598,YDR115W YD9727.10,"54S ribosomal protein L34, mitochondrial (L34mt) (Mitochondrial large ribosomal subunit protein bL34m)"
Q06090,MRPL51 YPR100W P8283.12,"54S ribosomal protein L51, mitochondrial (Mitochondrial large ribosomal subunit protein mL43)"
P36121,RPC37 YKR025W,DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 37 kDa polypeptide) (RNA polymerase III subunit C37)
Q05942,RSA3 YLR221C,Ribosome assembly protein 3
P41058,RPS29B RPS36B YS29B YDL061C,40S ribosomal protein S29-B (S36) (Small ribosomal subunit protein uS14-B) (YS29)
Q12464,RVB2 TIH2 TIP49B YPL235W P1060,RuvB-like protein 2 (RUVBL2) (EC 3.6.4.12) (TIP49-homology protein 2) (TIP49b homolog)
P39990,SNU13 YEL026W,13 kDa ribonucleoprotein-associated protein (Small nuclear ribonucleoprotein-associated protein 1)
P32364,SMY1 YKL079W YKL409,Kinesin-related protein SMY1 (Suppressor protein SMY1)
P40511,SPO22 YIL073C,Sporulation-specific protein 22
P53541,SPO1 YNL012W N2858,Putative meiotic phospholipase SPO1 (EC 3.1.1.-) (Sporulation-specific protein 1)
P25345,SLM5 YCR024C YCR242 YCR24C,"Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"
P09734,TUB3 YML124C YM7056.02C,Tubulin alpha-3 chain
P53904,ALF1 YNL148C N1201 N1777,Tubulin-specific chaperone B (Alpha-tubulin formation protein 1) (Tubulin-folding cofactor B)
P38793,TRM5 YHR070W,tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5)
P47047,MTR4 DOB1 YJL050W J1158,ATP-dependent RNA helicase DOB1 (EC 3.6.4.13) (mRNA transport regulator MTR4)
P53174,PRM8 DUP1 YGL053W,Pheromone-regulated membrane protein 8 (DUP240 protein PRM8) (Protein DUP1)
P29461,PTP2 YOR208W,Tyrosine-protein phosphatase 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2) (PTPase 2)
P02381,VAR1 Q0140,"Ribosomal protein VAR1, mitochondrial (Mitochondrial small ribosomal subunit protein uS3m)"
Q03465,RPN4 SON1 UFD5 YDL020C D2840,Protein RPN4 (Nuclear protein SON1) (Ubiquitin fusion degradation protein 5)
P36528,MRPL17 MRPL30 YNL252C N0864,"54S ribosomal protein L17, mitochondrial (Mitochondrial large ribosomal subunit protein mL46) (YmL17/YmL30)"
P20436,RPB8 YOR224C YOR50-14,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)"
P22276,RET1 RPC128 RPC2 YOR207C,DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 130 kDa polypeptide)
Q08745,RPS10A YOR293W,40S ribosomal protein S10-A (Small ribosomal subunit protein eS10-A)
P06367,RPS14A CRY1 RPL59 YCR031C YCR31C,40S ribosomal protein S14-A (RP59A) (Small ribosomal subunit protein uS11-A)
Q03940,RVB1 TIH1 TIP49A YDR190C,RuvB-like protein 1 (RUVBL1) (EC 3.6.4.12) (TIP49-homology protein 1) (TIP49a homolog)
P20134,SFL1 YOR140W YOR3339W,Flocculation suppression protein (Protein SFL1)
P54867,SLG1 WSC1 YOR008C UNF378,Protein SLG1 (Cell wall integrity and stress response component 1) (Synthetic lethal with GAP protein 1)
P36094,SPC42 YKL042W YKL255,Spindle pole body component SPC42
P40485,SLM1 LIT2 YIL105C,"Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1 (Synthetic lethal with MSS4 protein 1) (TORC2 effector protein SLM1)"
Q12074,SPE3 YPR069C YP9499.24C,Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)
P38166,SFT2 YBL102W YBL0812,Protein transport protein SFT2
P38778,SMF2 YHR050W,Manganese transporter SMF2
P32583,SRP40 YKR092C YKR412A,Suppressor protein SRP40
Q12516,SRF1 YDL133W D2185,Regulator of phospholipase D SRF1 (SPO14 regulatory factor 1)
P15705,STI1 YOR027W OR26.17,Heat shock protein STI1
P11972,SST2 YLR452C L9324.9,Protein SST2
P25344,STE50 YCL032W YCL32W,Protein STE50
P33300,SUR1 BCL21 CSG1 LPE15 YPL057C,Mannosyl phosphorylinositol ceramide synthase SUR1 (EC 2.4.-.-)
O74700,TIM9 YEL020W-A YEL020BW,Mitochondrial import inner membrane translocase subunit TIM9
O13539,THP2 YHR167W,THO complex subunit THP2
Q05998,THI7 THI10 YLR237W L8083.2,Thiamine transporter
P31688,TPS2 PFK3 YDR074W YD8554.07,Trehalose-phosphatase (EC 3.1.3.12) (Trehalose synthase complex catalytic subunit TPS2) (Trehalose-6-phosphate phosphatase) (TPP)
P35172,NTH2 YBR001C YBR0106,"Probable trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)"
P80967,TOM5 MOM8A YPR133W-A,Mitochondrial import receptor subunit TOM5 (Translocase of outer membrane 5 kDa subunit)
P53322,TNA1 YGR260W,High-affinity nicotinic acid transporter (Nicotinic acid permease)
P39961,TOG1 YER184C,Transcription factor TOG1 (Transcriptional regulator of oleate 1)
P38334,TRS20 YBR254C YBR1722,Trafficking protein particle complex subunit 20 (TRAPP subunit 20) (Transport protein particle 20 kDa subunit)
P38264,PHO88 SND3 YBR106W YBR0835,SRP-independent targeting protein 3 (Inorganic phosphate transport protein PHO88) (Phosphate metabolism protein PHO88)
Q12036,PPT2 YPL148C P2604,Mitochondrial holo-[acyl-carrier-protein] synthase (Mitochondrial holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase PPT2) (PPTase)
P33298,RPT3 YNT1 YTA2 YDR394W D9509.14,26S proteasome regulatory subunit 6B homolog (Protein YNT1) (Tat-binding homolog 2)
P47033,PRY3 YJL078C J1027,Cell wall protein PRY3 (Pathogenesis-related protein 3)
P53833,POP3 YNL282W N0586,Ribonucleases P/MRP protein subunit POP3 (RNA-processing protein POP3) (RNases MRP/P 22.6 kDa subunit)
Q03713,RCF1 AIM31 YML030W,"Respiratory supercomplex factor 1, mitochondrial (Altered inheritance of mitochondria protein 31)"
P22216,RAD53 MEC2 SAD1 SPK1 YPL153C P2588,Serine/threonine-protein kinase RAD53 (EC 2.7.12.1) (CHEK2 homolog) (Serine-protein kinase 1)
P33323,REC104 YHR157W,Meiotic recombination protein REC104
P21524,RNR1 CRT7 RIR1 SDS12 YER070W,Ribonucleoside-diphosphate reductase large chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R1 subunit 1) (Ribonucleotide reductase large subunit 1)
P38232,REG2 YBR050C YBR0504,Protein REG2
P0CX42,RPL23B RPL17AB RPL17B YER117W,60S ribosomal protein L23-B (L17a) (Large ribosomal subunit protein uL14-B) (YL32)
P0CX44,RPL1B SSM1B SSM2 YGL135W G2834,60S ribosomal protein L1-B (L10a) (Large ribosomal subunit protein uL1-B)
P0CX26,RPL43B YJR094W-A YJR094BW,60S ribosomal protein L43-B (L37a) (Large ribosomal subunit protein eL43-B) (YL35)
P43602,ROG3 YFR022W,Protein ROG3 (Revertant of glycogen synthase kinase mutation protein 3)
Q04062,RPN9 NAS7 YDR427W D9461.14,26S proteasome regulatory subunit RPN9 (Proteasome non-ATPase subunit 7)
P46969,RPE1 EPI1 POS18 YJL121C J0731,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (RPE)
P14063,MRPL31 YKL138C,"54S ribosomal protein L31, mitochondrial (Mitochondrial large ribosomal subunit protein mL60) (YmL31)"
P38204,RRN10 YBL025W YBL0426,RNA polymerase I-specific transcription initiation factor RRN10
Q12098,SLX4 YLR135W L3140,Structure-specific endonuclease subunit SLX4 (Synthetic lethal of unknown function protein 4)
P38788,SSZ1 PDR13 YHR064C,Ribosome-associated complex subunit SSZ1 (DnaK-related protein SSZ1) (Heat shock protein 70 homolog SSZ1) (Pleiotropic drug resistance protein 13)
Q02875,SYH1 YPL105C,SMY2 homolog 2
Q07748,THI13 YDL244W,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI13 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (EC 2.-.-.-) (Thiamine biosynthesis protein 13) (Thiamine pyrimidine synthase)
P38187,UBP13 YBL067C YBL0621,Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)
